WoCID,lat_or,long_or,species,pathway_as_classified,continent
WC6534,52.15569221,5.0972169,Procambarus clarkii,intercontinental,Europe
WC6535,52.1558876,4.557579517,Procambarus clarkii,intercontinental,Europe
WC6536,52.1559995,4.85665224,Procambarus clarkii,intercontinental,Europe
WC6537,52.15712777,4.60762464,Procambarus clarkii,intercontinental,Europe
WC6538,52.15727615,4.82699633,Procambarus clarkii,intercontinental,Europe
WC6542,52.15972397,4.56242505,Procambarus clarkii,intercontinental,Europe
WC6558,52.16191844,4.78312258,Procambarus clarkii,intercontinental,Europe
WC6559,52.16251718,4.8946905,Procambarus clarkii,intercontinental,Europe
WC6563,52.16499865,5.12232096,Procambarus clarkii,intercontinental,Europe
WC6564,52.1650724,5.12067319,Procambarus clarkii,intercontinental,Europe
WC6566,52.16644669,4.47556925,Procambarus clarkii,intercontinental,Europe
WC6567,52.16690604,4.46635742,Procambarus clarkii,intercontinental,Europe
WC6568,52.16705109,5.09734026,Procambarus clarkii,intercontinental,Europe
WC6571,52.16986847,5.101461411,Procambarus clarkii,intercontinental,Europe
WC6572,52.17382791,4.90320543,Procambarus clarkii,intercontinental,Europe
WC6574,52.17409511,5.12766125,Procambarus clarkii,intercontinental,Europe
WC6575,52.17521667,5.093283176,Procambarus clarkii,intercontinental,Europe
WC6576,52.17606354,5.11071014,Procambarus clarkii,intercontinental,Europe
WC6578,52.17677372,5.09892704,Procambarus clarkii,intercontinental,Europe
WC6581,52.17787552,5.107448578,Procambarus clarkii,intercontinental,Europe
WC6585,52.17812729,5.11638975,Procambarus clarkii,intercontinental,Europe
WC6588,52.17936341,5.10012864,Procambarus clarkii,intercontinental,Europe
WC6589,52.17942532,5.11738482,Procambarus clarkii,intercontinental,Europe
WC6596,52.18307521,5.1186627,Procambarus clarkii,intercontinental,Europe
WC6598,52.1862546,5.12463182,Procambarus clarkii,intercontinental,Europe
WC6599,52.19536248,5.11288945,Procambarus clarkii,intercontinental,Europe
WC6600,52.1978667,5.1096666,Procambarus clarkii,intercontinental,Europe
WC6601,52.19829559,4.92196846,Procambarus clarkii,intercontinental,Europe
WC6602,52.19973373,4.93774366,Procambarus clarkii,intercontinental,Europe
WC6606,52.21474075,5.09401321,Procambarus clarkii,intercontinental,Europe
WC6608,52.21522929,5.07442235,Procambarus clarkii,intercontinental,Europe
WC6609,52.21552062,5.09721039,Procambarus clarkii,intercontinental,Europe
WC6611,52.21558815,5.09083747,Procambarus clarkii,intercontinental,Europe
WC6617,52.2156601,5.10259342,Procambarus clarkii,intercontinental,Europe
WC6618,52.21588516,5.116473198,Procambarus clarkii,intercontinental,Europe
WC6619,52.21595383,5.109488964,Procambarus clarkii,intercontinental,Europe
WC6620,52.23495117,4.82273218,Procambarus clarkii,intercontinental,Europe
WC6621,52.23552363,4.96550946,Procambarus clarkii,intercontinental,Europe
WC6622,52.26748202,5.097949513,Procambarus clarkii,intercontinental,Europe
WC6623,52.27336126,5.09821094,Procambarus clarkii,intercontinental,Europe
WC6624,52.27904385,5.08885375,Procambarus clarkii,intercontinental,Europe
